T,resistivity,Seebeck, thermal cond.
(K),(10-3 ? cm),(µV/K),(W/m K)
300,0.71,106,2.52
325,0.75,119,2.29
350,0.81,131,2.088
375,0.9,142,1.938
400,1.01,154,1.792
425,1.14,166,1.681
450,1.28,178,1.569
475,1.43,191,1.485
500,1.59,205,1.398
525,1.74,219,1.332
550,1.9,229,1.263
575,2.06,239,1.213
600,2.22,247,1.164
625,2.37,254,1.131
650,2.52,258,1.091
675,2.66,262,1.072
700,2.8,266,1.042
725,2.94,269,1.03
750,3.08,269,1.019
775,3.24,268,1.011
800,3.42,268,1.008
